url,price,title
https://www.olx.com.pk/item/ps4-pro-1tb-white-colour-brand-new-from-faiz-electronic-IDWHEt3.html,"Rs 51,000",Ps4 Pro 1Tb white colour brand new from Faiz Electronic
https://www.olx.com.pk/item/xbox-360-with-kinect-in-best-condition-IDWHEsC.html,"Rs 30,000",Xbox 360 with Kinect in best condition
https://www.olx.com.pk/item/xbox-360-jtagged-120-gb-with-box-IDWGlrf.html,"Rs 15,000",Xbox 360 jtagged 120 gb with box
https://www.olx.com.pk/item/nintendo-wii-ko-mod-kerwain-or-usb-sy-games-play-kerain-IDWCK6C.html,Rs 999,Nintendo Wii ko Mod Kerwain or USB Sy Games Play Kerain.
https://www.olx.com.pk/item/ps4-la-noire-best-price-IDWHEtl.html,"Rs 4,000",Ps4 La Noire best price
https://www.olx.com.pk/item/ps3-wired-controller-IDWHEw2.html,"Rs 1,500",Ps3 wired controller
https://www.olx.com.pk/item/nintendo-wii-with-complete-accessories-and-third-party-accessory-pack-IDWwaUY.html,"Rs 14,000",Nintendo Wii With Complete Accessories and Third Party Accessory Pack
https://www.olx.com.pk/item/original-dvd-of-nintendo-wii-harry-potter-and-the-half-blod-prince-IDWpqUT.html,"Rs 2,000",Original Dvd Of Nintendo Wii (Harry Potter And The Half Blod Prince)
https://www.olx.com.pk/item/original-dvd-of-nintendo-wii-wii-play-IDWpqTy.html,"Rs 1,000",Original Dvd Of Nintendo Wii (WII PLAY)
https://www.olx.com.pk/item/steelseries-qck-gaming-mouse-pad-fnatic-edition-IDWHEvl.html,"Rs 1,300",SteelSeries QcK+ Gaming Mouse Pad-Fnatic Edition
https://www.olx.com.pk/item/apple-imac-core-i5-IDWxpsH.html,"Rs 52,000",Apple iMac Core i5
https://www.olx.com.pk/item/22-inch-asus-led-best-for-ps3-4-or-xbox-IDUIeQW.html,"Rs 7,000","22 inch Asus LED best for Ps3,4 or xbox"
https://www.olx.com.pk/item/hp-new-touch-laptop-core-i5-processer-IDWHF39.html,"Rs 14,000",Hp New touch Laptop core i5 processer
https://www.olx.com.pk/item/new-genuine-acer-pa-1450-26-laptop-ac-adapter-battery-charger-45w-IDWCOob.html,"Rs 1,200",New Genuine ACER PA-1450-26 Laptop Ac Adapter Battery Charger 45W
https://www.olx.com.pk/item/apple-wireless-keyboard-with-mini-mouse-IDWzMaY.html,"Rs 1,400",Apple Wireless Keyboard With Mini Mouse
https://www.olx.com.pk/item/techbuys-benq-authorized-dealer-IDWHF3w.html,Rs 100,Techbuys (BenQ Authorized Dealer)
https://www.olx.com.pk/item/apple-imac-early-2008-IDWll7S.html,"Rs 18,500",Apple iMac Early 2008
https://www.olx.com.pk/item/benq-scanner-good-condition-IDWhADB.html,"Rs 2,500",Benq Scanner good condition
https://www.olx.com.pk/item/toshiba-dual-core-laptop-IDWCVoI.html,"Rs 9,000",Toshiba dual core laptop
https://www.olx.com.pk/item/cat-6-nw-cable-IDW0u6D.html,"Rs 10,800",Cat-6 NW Cable
https://www.olx.com.pk/item/apple-macbook-IDWHFbn.html,"Rs 8,000",Apple macbook.
https://www.olx.com.pk/item/dell-6430-3g-IDWHFaJ.html,"Rs 17,000",Dell 6430 3g
https://www.olx.com.pk/item/hp-intel-core-i3-4th-genaration-IDWAiq7.html,"Rs 17,000",Hp intel core i3 4th genaration
https://www.olx.com.pk/item/dell-e6420-i5-IDWHFbs.html,"Rs 20,000",DELL E6420 i5
https://www.olx.com.pk/item/hp-dl-380-g5-quad-core-chassis-IDWHFbL.html,"Rs 1,111",HP DL 380 G5 Quad Core Chassis
https://www.olx.com.pk/item/hdd-sas-146-gb-10k-2-5-IDWHFcp.html,Rs 650,HDD SAS 146 GB 10K 2.5
https://www.olx.com.pk/item/dell-labtop-IDWHFch.html,"Rs 9,500",Dell labtop
https://www.olx.com.pk/item/dell-laptop-3537-core-i3-with-ram-4-gb-and-hard-500-gb-IDWHtpv.html,"Rs 20,000",Dell Laptop 3537 Core i3 with Ram 4 Gb and Hard 500 Gb
https://www.olx.com.pk/item/hp-mini-looks-like-a-beauty-free-delivery-IDWoEni.html,"Rs 7,500",: Hp Mini Looks Like A Beauty :Free Delivery
https://www.olx.com.pk/item/circuit-breakers-IDW4BVX.html,Rs 210,Circuit Breakers
https://www.olx.com.pk/item/bluetooth-wirelessly-handfree-IDWC6YP.html,"Rs 2,500",Bluetooth wirelessly Handfree
https://www.olx.com.pk/item/2-graphics-cards-and-three-rams-IDWHFcC.html,"Rs 10,000",2 Graphics cards and three rams
https://www.olx.com.pk/item/hp-notebook-15-ac-118ne-core-i3-5th-generation-IDWHFdO.html,"Rs 28,500",Hp Notebook 15 ac 118ne core i3 5th generation
